"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 24 12:26:42 GMT 2023","Fri Nov 24 12:26:42 GMT 2023","303","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankPassword","Create an account with blank password return - 400",""
"passed","Fri Nov 24 12:26:45 GMT 2023","Fri Nov 24 12:26:45 GMT 2023","539","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsername","Login with invalid username return - 400",""
"broken","Fri Nov 24 12:26:40 GMT 2023","Fri Nov 24 12:26:40 GMT 2023","322","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deletNonExistentUser","Delet non-existent user return code - 1207",""
"passed","Fri Nov 24 12:26:41 GMT 2023","Fri Nov 24 12:26:42 GMT 2023","319","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUserName","Create an account with blank userName return - 400",""
"passed","Fri Nov 24 12:26:43 GMT 2023","Fri Nov 24 12:26:44 GMT 2023","627","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsernameAndPassword","Login with invalid username and password  return - 400",""
"passed","Fri Nov 24 12:26:44 GMT 2023","Fri Nov 24 12:26:44 GMT 2023","579","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidPassword","Login with invalid password return - 400",""
"passed","Fri Nov 24 12:26:42 GMT 2023","Fri Nov 24 12:26:42 GMT 2023","313","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUsernameAndPassword","Create an account with blank username and password return - 400",""
"passed","Fri Nov 24 12:26:42 GMT 2023","Fri Nov 24 12:26:43 GMT 2023","303","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithAPasswordThatDoesNotContainSpecialCharacters","Create an account with a password that does not contain special characters return - 400",""
"passed","Fri Nov 24 12:26:36 GMT 2023","Fri Nov 24 12:26:40 GMT 2023","4470","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deleteAccount","Delete account return - 204",""
"passed","Fri Nov 24 12:26:43 GMT 2023","Fri Nov 24 12:26:43 GMT 2023","354","","bookstore.automation.api.tests.BooksTest","","bookstore.automation.api.tests.BooksTest","accessAListOfAvailableBooks","Access a list of available books return - 200",""
"passed","Fri Nov 24 12:26:44 GMT 2023","Fri Nov 24 12:26:45 GMT 2023","575","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginSuccessfully","Login successfully return - 200",""
"passed","Fri Nov 24 12:26:41 GMT 2023","Fri Nov 24 12:26:41 GMT 2023","485","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithTheSameDataAsAnExistingAccount","Create an account with the same data as an existing account return - 400",""
"failed","Fri Nov 24 12:26:41 GMT 2023","Fri Nov 24 12:26:41 GMT 2023","343","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","newAccountRegistration","Registration of a new account return - 201",""
