"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 12:26:36 GMT 2023","Tue Oct 24 12:26:36 GMT 2023","639","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidPassword","Login with invalid password return - 400",""
"passed","Tue Oct 24 12:26:37 GMT 2023","Tue Oct 24 12:26:37 GMT 2023","607","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsername","Login with invalid username return - 400",""
"passed","Tue Oct 24 12:26:39 GMT 2023","Tue Oct 24 12:26:39 GMT 2023","377","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithTheSameDataAsAnExistingAccount","Create an account with the same data as an existing account return - 400",""
"passed","Tue Oct 24 12:26:39 GMT 2023","Tue Oct 24 12:26:40 GMT 2023","312","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUsernameAndPassword","Create an account with blank username and password return - 400",""
"broken","Tue Oct 24 12:26:40 GMT 2023","Tue Oct 24 12:26:41 GMT 2023","341","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deleteAccount","Delete account return - 204",""
"passed","Tue Oct 24 12:26:38 GMT 2023","Tue Oct 24 12:26:39 GMT 2023","567","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","newAccountRegistration","Registration of a new account return - 201",""
"passed","Tue Oct 24 12:26:31 GMT 2023","Tue Oct 24 12:26:35 GMT 2023","4252","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsernameAndPassword","Login with invalid username and password  return - 400",""
"passed","Tue Oct 24 12:26:40 GMT 2023","Tue Oct 24 12:26:40 GMT 2023","263","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankPassword","Create an account with blank password return - 400",""
"passed","Tue Oct 24 12:26:39 GMT 2023","Tue Oct 24 12:26:39 GMT 2023","327","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUserName","Create an account with blank userName return - 400",""
"passed","Tue Oct 24 12:26:36 GMT 2023","Tue Oct 24 12:26:37 GMT 2023","645","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginSuccessfully","Login successfully return - 200",""
"passed","Tue Oct 24 12:26:37 GMT 2023","Tue Oct 24 12:26:38 GMT 2023","466","","bookstore.automation.api.tests.BooksTest","","bookstore.automation.api.tests.BooksTest","accessAListOfAvailableBooks","Access a list of available books return - 200",""
"passed","Tue Oct 24 12:26:41 GMT 2023","Tue Oct 24 12:26:42 GMT 2023","1258","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deletNonExistentUser","Delet non-existent user return code - 1207",""
"passed","Tue Oct 24 12:26:40 GMT 2023","Tue Oct 24 12:26:40 GMT 2023","266","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithAPasswordThatDoesNotContainSpecialCharacters","Create an account with a password that does not contain special characters return - 400",""
