"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 11 20:16:36 GMT 2024","Thu Jan 11 20:16:36 GMT 2024","355","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUsernameAndPassword","Create an account with blank username and password return - 400",""
"passed","Thu Jan 11 20:16:31 GMT 2024","Thu Jan 11 20:16:35 GMT 2024","3819","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","newAccountRegistration","Registration of a new account return - 201",""
"passed","Thu Jan 11 20:16:36 GMT 2024","Thu Jan 11 20:16:36 GMT 2024","306","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankPassword","Create an account with blank password return - 400",""
"passed","Thu Jan 11 20:16:37 GMT 2024","Thu Jan 11 20:16:39 GMT 2024","2205","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deleteAccount","Delete account return - 204",""
"passed","Thu Jan 11 20:16:41 GMT 2024","Thu Jan 11 20:16:41 GMT 2024","360","","bookstore.automation.api.tests.BooksTest","","bookstore.automation.api.tests.BooksTest","accessAListOfAvailableBooks","Access a list of available books return - 200",""
"passed","Thu Jan 11 20:16:43 GMT 2024","Thu Jan 11 20:16:44 GMT 2024","1082","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginSuccessfully","Login successfully return - 200",""
"passed","Thu Jan 11 20:16:39 GMT 2024","Thu Jan 11 20:16:41 GMT 2024","1829","","bookstore.automation.api.tests.DeleteAccountTest","","bookstore.automation.api.tests.DeleteAccountTest","deletNonExistentUser","Delet non-existent user return code - 1207",""
"passed","Thu Jan 11 20:16:42 GMT 2024","Thu Jan 11 20:16:43 GMT 2024","948","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidPassword","Login with invalid password return - 400",""
"passed","Thu Jan 11 20:16:35 GMT 2024","Thu Jan 11 20:16:36 GMT 2024","343","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithBlankUserName","Create an account with blank userName return - 400",""
"passed","Thu Jan 11 20:16:35 GMT 2024","Thu Jan 11 20:16:35 GMT 2024","572","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithTheSameDataAsAnExistingAccount","Create an account with the same data as an existing account return - 400",""
"passed","Thu Jan 11 20:16:36 GMT 2024","Thu Jan 11 20:16:37 GMT 2024","337","","bookstore.automation.api.tests.RegisterTest","","bookstore.automation.api.tests.RegisterTest","createAnAccountWithAPasswordThatDoesNotContainSpecialCharacters","Create an account with a password that does not contain special characters return - 400",""
"passed","Thu Jan 11 20:16:44 GMT 2024","Thu Jan 11 20:16:45 GMT 2024","942","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsername","Login with invalid username return - 400",""
"passed","Thu Jan 11 20:16:41 GMT 2024","Thu Jan 11 20:16:42 GMT 2024","929","","bookstore.automation.api.tests.LoginTest","","bookstore.automation.api.tests.LoginTest","loginWithInvalidUsernameAndPassword","Login with invalid username and password  return - 400",""
